id,title,circrna_id,circ_rna_name,circrna_synonyms,disease_details,method,species,expression_pattern,description
14,Dysregulated miR-671-5p / CDR1-AS / CDR1 / VSNL1 axis is involved in glioblastoma multiforme.,hsa_circ_0001946,hsa_circ_CDR1,"ciRS-7, CDR1as",glioma,RT-qPCR,human,down-regulated,The axis miR-671-5p/CDR1-AS/CDR1/VSNL1 is functionally altered in GBM cells and is involved in the modification of their biopathological profile.
15,A circular RNA protects the heart from pathological hypertrophy and heart failure by targeting miR-223.,-,-,mm9-circ-012559,congestive heart failure,RT-qPCR,mouse,down-regulated,Heart-related circRNA inhibits cardiomyocytes hypertrophy through targeting miR-223 and apoptosis repressor with CARD domain.
16,Circular RNA expression alterations are involved in OGD/R-induced neuron injury.,-,-,mmu-circRNA-015947,ischemia reperfusion injury,RT-qPCR,mouse,up-regulated,This research suggests that the overlapping expression of mmu-circRNA-015947 might be involved in the process of cerebral IRI and presents a novel molecular target for clinical therapy.
17,Circular RNA in blood corpuscles combined with plasma protein factor for early prediction of pre-eclampsia.,-,-,circ_101222,preeclampsia,"RT-qPCR, microarray",human,up-regulated,Plasma protein endoglin in combination with circ_101222 strengthened the predictive power for pre-eclampsia.
18,Foxo3 circular RNA retards cell cycle progression via forming ternary complexes with p21 and CDK2.,-,mmu_circ_FOXO3,-,breast cancer,RT-qPCR,mouse,down-regulated,The circular RNA circ-Foxo3 was highly expressed in noncancer cells and were associated with cell cycle progression. Silencing endogenous circ-Foxo3 promoted cell proliferation.
19,Foxo3 circular RNA retards cell cycle progression via forming ternary complexes with p21 and CDK2.,-,mmu_circ_FOXO3,-,melanoma,RT-qPCR,mouse,down-regulated,The circular RNA circ-Foxo3 was highly expressed in noncancer cells and were associated with cell cycle progression. Silencing endogenous circ-Foxo3 promoted cell proliferation.
20,Foxo3 circular RNA promotes cardiac senescence by modulating multiple factors associated with stress and senescence responses.,-,hsa_circ_FOXO3,-,cardiac senescence,RT-qPCR,human,up-regulated,We also found that silencing circ-Foxo3 inhibited senescence of mouse embryonic fibroblasts and that ectopic expression of circ-Foxo3 induced senescence.
21,Foxo3 circular RNA promotes cardiac senescence by modulating multiple factors associated with stress and senescence responses.,-,mmu_circ_FOXO3,-,cardiac senescence,RT-qPCR,mouse,up-regulated,We also found that silencing circ-Foxo3 inhibited senescence of mouse embryonic fibroblasts and that ectopic expression of circ-Foxo3 induced senescence.
22,Circular RNA profile in gliomas revealed by identification tool UROBORUS.,hsa_circ_0001946,hsa_circ_CDR1,"ciRS-7, CDR1as",glioma,RNA-seq,human,down-regulated,"There are about 468 circRNAs, such as circ_CDR1, circ_ATRNL1, circ_AKT3, circ_SPTAN1, circ_ZNF483, circ_RIMS1, circ_FKBP8, circ_UNC13C, that are more highly expressed in normal tissue than in GBM with a q value < 0.05 (Wilcoxon rank-sum test and Benjamini-Hochberg correction), indicating that most of the highly expressed circRNAs are important factor in maintaining normal physiological function."
23,Circular RNA profile in gliomas revealed by identification tool UROBORUS.,-,hsa_circ_ATRNL1,-,glioma,RNA-seq,human,down-regulated,"There are about 468 circRNAs, such as circ_CDR1, circ_ATRNL1, circ_AKT3, circ_SPTAN1, circ_ZNF483, circ_RIMS1, circ_FKBP8, circ_UNC13C, that are more highly expressed in normal tissue than in GBM with a q value < 0.05 (Wilcoxon rank-sum test and Benjamini-Hochberg correction), indicating that most of the highly expressed circRNAs are important factor in maintaining normal physiological function."
24,Circular RNA profile in gliomas revealed by identification tool UROBORUS.,-,hsa_circ_AKT3,-,glioma,RNA-seq,human,down-regulated,"There are about 468 circRNAs, such as circ_CDR1, circ_ATRNL1, circ_AKT3, circ_SPTAN1, circ_ZNF483, circ_RIMS1, circ_FKBP8, circ_UNC13C, that are more highly expressed in normal tissue than in GBM with a q value < 0.05 (Wilcoxon rank-sum test and Benjamini-Hochberg correction), indicating that most of the highly expressed circRNAs are important factor in maintaining normal physiological function."
25,Circular RNA profile in gliomas revealed by identification tool UROBORUS.,-,hsa_circ_SPTAN1,-,glioma,RNA-seq,human,down-regulated,"There are about 468 circRNAs, such as circ_CDR1, circ_ATRNL1, circ_AKT3, circ_SPTAN1, circ_ZNF483, circ_RIMS1, circ_FKBP8, circ_UNC13C, that are more highly expressed in normal tissue than in GBM with a q value < 0.05 (Wilcoxon rank-sum test and Benjamini-Hochberg correction), indicating that most of the highly expressed circRNAs are important factor in maintaining normal physiological function."
26,Circular RNA profile in gliomas revealed by identification tool UROBORUS.,-,hsa_circ_ZNF483,-,glioma,RNA-seq,human,down-regulated,"There are about 468 circRNAs, such as circ_CDR1, circ_ATRNL1, circ_AKT3, circ_SPTAN1, circ_ZNF483, circ_RIMS1, circ_FKBP8, circ_UNC13C, that are more highly expressed in normal tissue than in GBM with a q value < 0.05 (Wilcoxon rank-sum test and Benjamini-Hochberg correction), indicating that most of the highly expressed circRNAs are important factor in maintaining normal physiological function."
27,Circular RNA profile in gliomas revealed by identification tool UROBORUS.,-,hsa_circ_RIMS1,-,glioma,"RT-qPCR, RNA-seq",human,down-regulated,"There are about 468 circRNAs, such as circ_CDR1, circ_ATRNL1, circ_AKT3, circ_SPTAN1, circ_ZNF483, circ_RIMS1, circ_FKBP8, circ_UNC13C, that are more highly expressed in normal tissue than in GBM with a q value < 0.05 (Wilcoxon rank-sum test and Benjamini-Hochberg correction), indicating that most of the highly expressed circRNAs are important factor in maintaining normal physiological function."
28,Circular RNA profile in gliomas revealed by identification tool UROBORUS.,-,hsa_circ_FKBP8,-,glioma,"RT-qPCR, RNA-seq",human,down-regulated,"There are about 468 circRNAs, such as circ_CDR1, circ_ATRNL1, circ_AKT3, circ_SPTAN1, circ_ZNF483, circ_RIMS1, circ_FKBP8, circ_UNC13C, that are more highly expressed in normal tissue than in GBM with a q value < 0.05 (Wilcoxon rank-sum test and Benjamini-Hochberg correction), indicating that most of the highly expressed circRNAs are important factor in maintaining normal physiological function."
29,Circular RNA profile in gliomas revealed by identification tool UROBORUS.,-,hsa_circ_UNC13C,-,glioma,RNA-seq,human,down-regulated,"There are about 468 circRNAs, such as circ_CDR1, circ_ATRNL1, circ_AKT3, circ_SPTAN1, circ_ZNF483, circ_RIMS1, circ_FKBP8, circ_UNC13C, that are more highly expressed in normal tissue than in GBM with a q value < 0.05 (Wilcoxon rank-sum test and Benjamini-Hochberg correction), indicating that most of the highly expressed circRNAs are important factor in maintaining normal physiological function."
30,Circular RNA profile in gliomas revealed by identification tool UROBORUS.,-,hsa_circ_COL1A2,-,glioma,RNA-seq,human,up-regulated,"There are eight circRNAs, such as circ_COL1A2, circ_PTN, circ_VCAN, circ_SMO, circ_PLOD2, circ_GLIS3, circ_EPHB4, circ_CLIP2, that are more highly expressed in GBM than in normal tissues with a q value < 0.05 (Wilcoxon rank-sum test and Benjamini-Hochberg correction), indicating that these eight circRNAs could be potential biomarkers for GBM."
31,Circular RNA profile in gliomas revealed by identification tool UROBORUS.,-,hsa_circ_PTN,-,glioma,RNA-seq,human,up-regulated,"There are eight circRNAs, such as circ_COL1A2, circ_PTN, circ_VCAN, circ_SMO, circ_PLOD2, circ_GLIS3, circ_EPHB4, circ_CLIP2, that are more highly expressed in GBM than in normal tissues with a q value < 0.05 (Wilcoxon rank-sum test and Benjamini-Hochberg correction), indicating that these eight circRNAs could be potential biomarkers for GBM."
32,Circular RNA profile in gliomas revealed by identification tool UROBORUS.,-,hsa_circ_VCAN,-,glioma,"RT-qPCR, RNA-seq",human,up-regulated,"There are eight circRNAs, such as circ_COL1A2, circ_PTN, circ_VCAN, circ_SMO, circ_PLOD2, circ_GLIS3, circ_EPHB4, circ_CLIP2, that are more highly expressed in GBM than in normal tissues with a q value < 0.05 (Wilcoxon rank-sum test and Benjamini-Hochberg correction), indicating that these eight circRNAs could be potential biomarkers for GBM."
33,Circular RNA profile in gliomas revealed by identification tool UROBORUS.,-,hsa_circ_SMO,-,glioma,RNA-seq,human,up-regulated,"There are eight circRNAs, such as circ_COL1A2, circ_PTN, circ_VCAN, circ_SMO, circ_PLOD2, circ_GLIS3, circ_EPHB4, circ_CLIP2, that are more highly expressed in GBM than in normal tissues with a q value < 0.05 (Wilcoxon rank-sum test and Benjamini-Hochberg correction), indicating that these eight circRNAs could be potential biomarkers for GBM."
34,Circular RNA profile in gliomas revealed by identification tool UROBORUS.,-,hsa_circ_PLOD2,-,glioma,RNA-seq,human,up-regulated,"There are eight circRNAs, such as circ_COL1A2, circ_PTN, circ_VCAN, circ_SMO, circ_PLOD2, circ_GLIS3, circ_EPHB4, circ_CLIP2, that are more highly expressed in GBM than in normal tissues with a q value < 0.05 (Wilcoxon rank-sum test and Benjamini-Hochberg correction), indicating that these eight circRNAs could be potential biomarkers for GBM."
35,Circular RNA profile in gliomas revealed by identification tool UROBORUS.,-,hsa_circ_GLIS3,-,glioma,RNA-seq,human,up-regulated,"There are eight circRNAs, such as circ_COL1A2, circ_PTN, circ_VCAN, circ_SMO, circ_PLOD2, circ_GLIS3, circ_EPHB4, circ_CLIP2, that are more highly expressed in GBM than in normal tissues with a q value < 0.05 (Wilcoxon rank-sum test and Benjamini-Hochberg correction), indicating that these eight circRNAs could be potential biomarkers for GBM."
36,Circular RNA profile in gliomas revealed by identification tool UROBORUS.,-,hsa_circ_EPHB4,-,glioma,RNA-seq,human,up-regulated,"There are eight circRNAs, such as circ_COL1A2, circ_PTN, circ_VCAN, circ_SMO, circ_PLOD2, circ_GLIS3, circ_EPHB4, circ_CLIP2, that are more highly expressed in GBM than in normal tissues with a q value < 0.05 (Wilcoxon rank-sum test and Benjamini-Hochberg correction), indicating that these eight circRNAs could be potential biomarkers for GBM."
37,Circular RNA profile in gliomas revealed by identification tool UROBORUS.,-,hsa_circ_CLIP2,-,glioma,RNA-seq,human,up-regulated,"There are eight circRNAs, such as circ_COL1A2, circ_PTN, circ_VCAN, circ_SMO, circ_PLOD2, circ_GLIS3, circ_EPHB4, circ_CLIP2, that are more highly expressed in GBM than in normal tissues with a q value < 0.05 (Wilcoxon rank-sum test and Benjamini-Hochberg correction), indicating that these eight circRNAs could be potential biomarkers for GBM."
38,Decreased expression of hsa_circ_001988 in colorectal cancer and its clinical significances.,hsa_circ_0001451,hsa_circ_FBXW7,hsa_circ_001988,colorectal cancer,"RT-qPCR, RNA-seq",human,down-regulated,The expression of hsa_circ_001988 was signi cantly correlated with differentiation and perineural invasion.
39,Circular RNA Related to the Chondrocyte ECM Regulates MMP13 Expression by Functioning as a MiR-136 Sponge in Human Cartilage Degradation.,hsa_circ_0023404,hsa_circ_CER,circRNA_100876,osteoarthritis,"RT-qPCR, microarray",human,up-regulated,We demonstrated that circRNA-CER regulated MMP13 expression and participated in the process of chondrocyte ECM degradation.
40,The Circular RNA Cdr1as Promotes Myocardial Infarction by Mediating the Regulation of miR-7a on Its Target Genes Expression.,hsa_circ_0001946,hsa_circ_CDR1,"ciRS-7, CDR1as",myocardial Infarction,RT-qPCR,human,up-regulated,"Cdr1as also functioned as a powerful miR-7a sponge in myocardial cells, and showed regulation on the protective role of miR-7a in myocardial infarction (MI) injury, involving the function of miR-7a targets, PARP and SP1."
41,Oncogenic Role of Fusion-circRNAs Derived from Cancer-Associated Chromosomal Translocations.,-,-,f-circRNA,leukemia,"RT-qPCR, RNA-seq",mouse,up-regulated,"F-circRNAs contribute to cellular transformation, promote cell viability and resistance upon therapy, and have tumor-promoting properties in in_ivo models. Our work expands the current knowledge regarding molecular mechanisms involved in cancer onset and progression, with potential diagnostic and therapeutic implications."
42,Circular RNA profiling reveals an abundant circHIPK3 that regulates cell growth by sponging multiple miRNAs.,hsa_circ_0000284,hsa_circ_HIPK3,-,hepatocellular carcinoma,"RT-qPCR, RNA-seq",human,up-regulated,"A subsequent cell proliferation assay indicated that the downregulation of circHIPK3, but not HIPK3 mRNA, significantly suppressed cell growth in different cell types. Consistent with this result from the siRNA knockdown experiments, we observed that cell proliferation was significantly suppressed on the knockdown of circHIPK3 expression in HEK-293T cells via CRISPR/Cas9 technology."
43,Emerging roles of circRNA_001569 targeting miR-145 in the proliferation and invasion of colorectal cancer.,hsa_circ_0000677,hsa_circ_ABCC1,circRNA_001569,colorectal cancer,RT-qPCR,human,up-regulated,hsa_circ_001569 acted as a positive regulator in cell proliferation and invasion of colorectal cancer.
44,Circular RNA expression in basal cell carcinoma.,hsa_circ_0075828,hsa_circ_LINC00340,hsa_circRNA_104083,basal cell carcinoma,microarray,human,up-regulated,We identified 23 upregulated and 48 downregulated circRNAs with 354 miRNA response elements capable of sequestering miRNA target sequences of the basal cell carcinoma (BCC) miRNome. The present study describes a variety of circRNAs that are potentially involved in the molecular pathogenesis of BCC.
45,Circular RNA expression in basal cell carcinoma.,hsa_circ_0075825,hsa_circ_LINC00340,hsa_circRNA_104081,basal cell carcinoma,microarray,human,up-regulated,We identified 23 upregulated and 48 downregulated circRNAs with 354 miRNA response elements capable of sequestering miRNA target sequences of the basal cell carcinoma (BCC) miRNome. The present study describes a variety of circRNAs that are potentially involved in the molecular pathogenesis of BCC.
46,Circular RNA expression in basal cell carcinoma.,hsa_circ_0008732,hsa_circ_BNC2,hsa_circRNA_104738,basal cell carcinoma,"RT-qPCR, microarray",human,up-regulated,We identified 23 upregulated and 48 downregulated circRNAs with 354 miRNA response elements capable of sequestering miRNA target sequences of the basal cell carcinoma (BCC) miRNome. The present study describes a variety of circRNAs that are potentially involved in the molecular pathogenesis of BCC.
47,Circular RNA expression in basal cell carcinoma.,hsa_circ_0075829,hsa_circ_LINC00340,hsa_circRNA_104084,basal cell carcinoma,"RT-qPCR, microarray",human,up-regulated,We identified 23 upregulated and 48 downregulated circRNAs with 354 miRNA response elements capable of sequestering miRNA target sequences of the basal cell carcinoma (BCC) miRNome. The present study describes a variety of circRNAs that are potentially involved in the molecular pathogenesis of BCC.
48,Circular RNA expression in basal cell carcinoma.,hsa_circ_0001370,hsa_circ_YEATS2,hsa_circRNA_001830,basal cell carcinoma,microarray,human,up-regulated,We identified 23 upregulated and 48 downregulated circRNAs with 354 miRNA response elements capable of sequestering miRNA target sequences of the basal cell carcinoma (BCC) miRNome. The present study describes a variety of circRNAs that are potentially involved in the molecular pathogenesis of BCC.
49,Circular RNA expression in basal cell carcinoma.,hsa_circ_0005795,hsa_circ_LPXN,hsa_circRNA_100823,basal cell carcinoma,microarray,human,up-regulated,We identified 23 upregulated and 48 downregulated circRNAs with 354 miRNA response elements capable of sequestering miRNA target sequences of the basal cell carcinoma (BCC) miRNome. The present study describes a variety of circRNAs that are potentially involved in the molecular pathogenesis of BCC.
50,Circular RNA expression in basal cell carcinoma.,hsa_circ_0004777,hsa_circ_SOX13,hsa_circRNA_100432,basal cell carcinoma,microarray,human,up-regulated,We identified 23 upregulated and 48 downregulated circRNAs with 354 miRNA response elements capable of sequestering miRNA target sequences of the basal cell carcinoma (BCC) miRNome. The present study describes a variety of circRNAs that are potentially involved in the molecular pathogenesis of BCC.
51,Circular RNA expression in basal cell carcinoma.,hsa_circ_0080189,hsa_circ_TNS3,hsa_circRNA_104370,basal cell carcinoma,microarray,human,up-regulated,We identified 23 upregulated and 48 downregulated circRNAs with 354 miRNA response elements capable of sequestering miRNA target sequences of the basal cell carcinoma (BCC) miRNome. The present study describes a variety of circRNAs that are potentially involved in the molecular pathogenesis of BCC.
52,Circular RNA expression in basal cell carcinoma.,hsa_circ_0086419,hsa_circ_BNC2,hsa_circRNA_104739,basal cell carcinoma,microarray,human,up-regulated,We identified 23 upregulated and 48 downregulated circRNAs with 354 miRNA response elements capable of sequestering miRNA target sequences of the basal cell carcinoma (BCC) miRNome. The present study describes a variety of circRNAs that are potentially involved in the molecular pathogenesis of BCC.
53,Circular RNA expression in basal cell carcinoma.,hsa_circ_0005912,hsa_circ_FIP1L1,hsa_circRNA_103643,basal cell carcinoma,"RT-qPCR, microarray",human,up-regulated,We identified 23 upregulated and 48 downregulated circRNAs with 354 miRNA response elements capable of sequestering miRNA target sequences of the basal cell carcinoma (BCC) miRNome. The present study describes a variety of circRNAs that are potentially involved in the molecular pathogenesis of BCC.
54,Circular RNA expression in basal cell carcinoma.,hsa_circ_0022383,hsa_circ_FADS2,hsa_circRNA_100833,basal cell carcinoma,microarray,human,down-regulated,We identified 23 upregulated and 48 downregulated circRNAs with 354 miRNA response elements capable of sequestering miRNA target sequences of the basal cell carcinoma (BCC) miRNome. The present study describes a variety of circRNAs that are potentially involved in the molecular pathogenesis of BCC.
55,Circular RNA expression in basal cell carcinoma.,hsa_circ_0022392,hsa_circ_FADS2,hsa_circRNA_100834,basal cell carcinoma,microarray,human,down-regulated,We identified 23 upregulated and 48 downregulated circRNAs with 354 miRNA response elements capable of sequestering miRNA target sequences of the basal cell carcinoma (BCC) miRNome. The present study describes a variety of circRNAs that are potentially involved in the molecular pathogenesis of BCC.
56,Circular RNA expression in basal cell carcinoma.,hsa_circ_0005085,hsa_circ_ASAP2,hsa_circRNA_102612,basal cell carcinoma,microarray,human,down-regulated,We identified 23 upregulated and 48 downregulated circRNAs with 354 miRNA response elements capable of sequestering miRNA target sequences of the basal cell carcinoma (BCC) miRNome. The present study describes a variety of circRNAs that are potentially involved in the molecular pathogenesis of BCC.
57,Circular RNA expression in basal cell carcinoma.,hsa_circ_0015449,hsa_circ_SOAT1,hsa_circRNA_100410,basal cell carcinoma,microarray,human,down-regulated,We identified 23 upregulated and 48 downregulated circRNAs with 354 miRNA response elements capable of sequestering miRNA target sequences of the basal cell carcinoma (BCC) miRNome. The present study describes a variety of circRNAs that are potentially involved in the molecular pathogenesis of BCC.
58,Circular RNA expression in basal cell carcinoma.,hsa_circ_0072387,hsa_circ_HMGCS1,hsa_circRNA_103829,basal cell carcinoma,microarray,human,down-regulated,We identified 23 upregulated and 48 downregulated circRNAs with 354 miRNA response elements capable of sequestering miRNA target sequences of the basal cell carcinoma (BCC) miRNome. The present study describes a variety of circRNAs that are potentially involved in the molecular pathogenesis of BCC.
59,Circular RNA expression in basal cell carcinoma.,hsa_circ_0046449,hsa_circ_TBCD,hsa_circRNA_102246,basal cell carcinoma,microarray,human,down-regulated,We identified 23 upregulated and 48 downregulated circRNAs with 354 miRNA response elements capable of sequestering miRNA target sequences of the basal cell carcinoma (BCC) miRNome. The present study describes a variety of circRNAs that are potentially involved in the molecular pathogenesis of BCC.
60,Circular RNA: a novel biomarker for progressive laryngeal cancer.,-,-,hsa_circRNA_100855,laryngeal squamous cell carcinoma,"RT-qPCR, microarray",human,up-regulated,"The hsa_circRNA_100855 level was signicantly higher in laryngeal squamous cell cancer (LSCC) than in the corresponding adjacent non-neoplastic tissues. Patients with T3-4 stage, neck nodal metastasis or advanced clinical stage had higher hsa_circRNA_100855 expression."
61,Circular RNA: a novel biomarker for progressive laryngeal cancer.,-,-,hsa_circRNA_104912,laryngeal squamous cell carcinoma,"RT-qPCR, microarray",human,down-regulated,"The hsa_circRNA_104912 level was signicantly lower in laryngeal squamous cell cancer (LSCC) than in corresponding adjacent non-neoplastic tissues. Patients with T3-4 stage, neck nodal metastasis, poor differentiation or advanced clinical stage had a lower hsa_circRNA_104912 expression. Overall, our data suggest that circRNAs play an important role in the tumorigenesis of LSCC and may serve as novel and stable biomarkers for the diagnosis and progress of LSCC."
62,"Comprehensive Circular RNA Profiling Reveals That hsa_circ_0005075, a New Circular RNA Biomarker, Is Involved in Hepatocellular Crcinoma Development.",hsa_circ_0005075,hsa_circ_EIF4G3,-,hepatocellular carcinoma,"RT-qPCR, microarray",human,up-regulated,"Hsa_circ_0005075 expression shows significant association with some clinicopathological factors of hepatocellular carcinoma (HCC) patients, and may serve as a novel potential biomarker for HCC diagnosis."
63,Circular RNA expression in cutaneous squamous cell carcinoma.,hsa_circ_0022383,hsa_circ_FADS2,hsa_circRNA_100833,cutaneous squamous cell carcinoma,"RT-qPCR, microarray",human,down-regulated,"Regarding the top down-regulated circRNAs, hsa_circ_0022392 and hsa_circ_0022383 are both spliced from Fatty Acid Desaturase 2 (FADS2), which is localized at the cancer genomic hotspot 11q13 locus and codes for an enzyme with ?_6 and ?_8-desaturase activity necessary for normal eicosanoid precursor synthesis previously shown in human breast 19 cancer cells."
64,Circular RNA expression in cutaneous squamous cell carcinoma.,hsa_circ_0022392,hsa_circ_FADS2,hsa_circRNA_100834,cutaneous squamous cell carcinoma,"RT-qPCR, microarray",human,down-regulated,"Regarding the top down-regulated circRNAs, hsa_circ_0022392 and hsa_circ_0022383 are both spliced from Fatty Acid Desaturase 2 (FADS2), which is localized at the cancer genomic hotspot 11q13 locus and codes for an enzyme with ?_6 and ?_8-desaturase activity necessary for normal eicosanoid precursor synthesis previously shown in human breast 19 cancer cells."
65,Circular RNA expression in cutaneous squamous cell carcinoma.,hsa_circ_0070933,hsa_circ_LARP1B,hsa_circRNA_103736,cutaneous squamous cell carcinoma,"RT-qPCR, microarray",human,up-regulated,"Both of the two most up-regulated circRNAs in this study, hsa_circ_0070933 and 18 hsa_circ_0070934, are spliced from La Ribonucleoprotein Domain Family, Member 1B (LARP1B)."
66,Circular RNA expression in cutaneous squamous cell carcinoma.,hsa_circ_0070934,hsa_circ_LARP1B,hsa_circRNA_103737,cutaneous squamous cell carcinoma,"RT-qPCR, microarray",human,up-regulated,"Both of the two most up-regulated circRNAs in this study, hsa_circ_0070933 and 18 hsa_circ_0070934, are spliced from La Ribonucleoprotein Domain Family, Member 1B (LARP1B)."
67,Microarray Expression Profile of Circular RNAs in Heart Tissue of Mice with Myocardial Infarction-Induced Heart Failure.,-,-,mmu_circRNA_CDR1as,heart failure,"RT-qPCR, microarray",mouse,up-regulated,The distinct expression patterns of circulatory circRNAs during HF indicate that circRNAs may actively respond to stress and thus serve as biomarkers of HF diagnosis and treatment.
68,Microarray Expression Profile of Circular RNAs in Heart Tissue of Mice with Myocardial Infarction-Induced Heart Failure.,-,-,mmu_circRNA_004775,heart failure,"RT-qPCR, microarray",mouse,up-regulated,The distinct expression patterns of circulatory circRNAs during HF indicate that circRNAs may actively respond to stress and thus serve as biomarkers of HF diagnosis and treatment.
69,Microarray Expression Profile of Circular RNAs in Heart Tissue of Mice with Myocardial Infarction-Induced Heart Failure.,-,-,mmu_circRNA_007687,heart failure,"RT-qPCR, microarray",mouse,up-regulated,The distinct expression patterns of circulatory circRNAs during HF indicate that circRNAs may actively respond to stress and thus serve as biomarkers of HF diagnosis and treatment.
70,Microarray Expression Profile of Circular RNAs in Heart Tissue of Mice with Myocardial Infarction-Induced Heart Failure.,-,-,mmu_circRNA_013216,heart failure,"RT-qPCR, microarray",mouse,up-regulated,The distinct expression patterns of circulatory circRNAs during HF indicate that circRNAs may actively respond to stress and thus serve as biomarkers of HF diagnosis and treatment.
71,Microarray Expression Profile of Circular RNAs in Heart Tissue of Mice with Myocardial Infarction-Induced Heart Failure.,-,-,mmu_circRNA_010567,heart failure,"RT-qPCR, microarray",mouse,up-regulated,The distinct expression patterns of circulatory circRNAs during HF indicate that circRNAs may actively respond to stress and thus serve as biomarkers of HF diagnosis and treatment.
